Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt
2,t,585500,18/03/2017,11.5,3046,1,1.0,161,86.0,2013.0
2,u,450000,18/03/2017,6.5,3071,1,1.0,0,52.0,1970.0
2,u,601000,27/05/2017,17.9,3192,1,1.0,1078,94.0,1972.0
2,t,705000,18/06/2016,5.9,3032,2,1.0,113,,1998.0
3,h,921500,22/05/2016,11.2,3073,2,1.0,527,177.0,1950.0
3,h,912000,16/09/2017,18.8,3170,2,1.0,753,,
2,u,636000,3/9/16,13.0,3204,1,2.0,202,,1974.0
2,u,627500,28/08/2016,4.6,3122,2,2.0,0,89.0,2000.0
4,h,2286000,15/10/2016,5.6,3101,3,2.0,712,237.0,1975.0
3,h,1005000,3/9/17,23.0,3136,1,8.0,1082,,
3,t,640000,10/12/16,7.8,3058,1,2.0,119,109.0,1995.0
2,u,520000,15/10/2016,6.6,3183,1,0.0,0,58.0,1970.0
2,u,415500,22/04/2017,9.4,3041,1,1.0,82,,1970.0
2,t,1365000,8/10/16,3.3,3141,2,1.0,1302,,
3,h,1275000,10/9/16,13.0,3204,1,4.0,758,138.0,1960.0
3,h,1160000,26/08/2017,5.2,3055,1,2.0,575,,
2,u,588000,4/6/16,5.6,3101,1,1.0,0,,1982.0
2,t,750000,7/5/16,4.2,3031,1,1.0,325,112.0,2002.0
4,t,1400000,7/5/16,9.2,3104,2,1.0,283,,
3,t,1035000,29/07/2017,7.2,3184,2,2.0,0,111.0,2010.0
4,h,1525000,26/08/2017,6.2,3039,3,,233,,
4,h,626800,7/11/16,13.3,3020,1,2.0,581,130.0,1950.0
2,u,435000,26/08/2017,6.2,3039,1,1.0,1475,66.0,1970.0
4,h,2188000,19/11/2016,9.7,3103,2,2.0,752,253.0,1981.0
2,u,637000,3/6/17,16.1,3088,1,1.0,318,104.0,1980.0
3,t,720000,15/10/2016,8.0,3040,1,2.0,190,142.0,1999.0
3,h,746000,23/09/2017,15.5,3038,2,2.0,649,,
3,h,510000,22/07/2017,20.6,3064,2,2.0,523,,2000.0
4,h,1290000,24/06/2017,17.2,3133,2,2.0,407,300.0,2003.0
3,h,612500,15/10/2016,13.0,3046,2,3.0,635,,
3,h,575500,8/10/16,13.0,3046,1,1.0,701,,
3,t,911000,16/04/2016,2.6,3121,2,1.0,0,110.0,2000.0
4,h,1322000,14/05/2016,6.9,3039,1,1.0,549,192.0,1930.0
4,h,1400000,23/09/2017,14.2,3149,2,2.0,664,,
3,h,1068000,27/11/2016,14.7,3167,2,2.0,609,172.0,1970.0
2,u,506000,27/06/2016,9.1,3015,1,1.0,126,83.0,1975.0
2,u,530000,15/10/2016,8.8,3072,1,1.0,106,74.0,1970.0
6,h,1850000,27/05/2017,27.0,3196,4,4.0,840,547.0,2011.0
2,h,1440000,13/05/2017,6.1,3182,1,2.0,194,112.0,1890.0
3,h,900000,27/11/2016,12.8,3033,1,2.0,600,,
2,u,582500,8/10/16,7.7,3184,1,1.0,0,,
4,h,975000,15/10/2016,4.2,3031,3,1.0,0,,
4,h,1661000,16/07/2016,13.1,3128,2,2.0,729,,
2,u,436000,10/9/16,11.2,3073,1,1.0,140,,2011.0
2,h,1300000,18/06/2016,4.5,3181,1,1.0,126,,
3,h,690000,24/06/2017,35.2,3806,2,2.0,703,153.0,1980.0
3,h,770000,24/06/2017,20.8,3171,1,1.0,606,,
4,h,1360000,22/07/2017,11.0,3018,2,4.0,615,,
3,h,1650000,3/12/16,7.8,3124,2,2.0,305,189.0,1998.0
3,h,627000,29/07/2017,12.8,3022,1,2.0,697,102.0,1960.0
4,h,2640000,4/3/17,8.0,3016,2,2.0,650,,
2,u,620000,17/09/2016,5.2,3056,1,1.0,135,,1975.0
4,h,1630000,9/9/17,21.5,3195,2,2.0,554,,
3,h,600000,22/05/2016,14.5,3047,1,2.0,647,173.0,1960.0
2,u,625500,26/08/2017,12.0,3073,1,2.0,343,111.0,1960.0
4,h,1670000,17/09/2016,13.1,3128,4,4.0,707,162.0,1926.0
3,h,2299500,12/8/17,10.2,3147,2,3.0,634,230.0,1940.0
4,h,2090000,25/02/2017,7.9,3079,3,2.0,608,315.0,1980.0
2,u,902000,27/05/2017,7.2,3184,1,0.0,702,86.0,1940.0
3,h,1305000,20/05/2017,9.8,3040,1,2.0,147,,
2,u,400000,22/05/2016,5.9,3055,1,1.0,0,,
2,u,750000,12/11/16,2.5,3067,2,1.0,0,94.0,2009.0
4,t,2300000,3/6/17,15.2,3191,2,2.0,604,166.0,1940.0
3,h,1385000,27/05/2017,14.3,3109,2,3.0,654,149.0,1966.0
4,h,723000,16/09/2017,18.4,3029,2,2.0,872,,
4,h,1310000,27/06/2016,5.5,3070,2,1.0,355,,
3,t,1215000,29/07/2017,17.3,3193,2,2.0,314,,
2,h,1045000,4/3/17,5.1,3181,1,2.0,118,,1993.0
3,h,657500,7/5/16,12.6,3020,1,1.0,513,116.0,1955.0
3,u,422500,30/07/2016,12.4,3060,2,1.0,195,91.0,2000.0
3,u,1392000,13/05/2017,11.2,3186,2,1.0,188,,
2,u,445000,29/04/2017,12.4,3060,1,1.0,196,,
5,h,960000,15/07/2017,18.8,3170,2,1.0,731,130.0,1965.0
2,u,725000,13/08/2016,13.0,3204,1,1.0,227,100.0,1990.0
4,h,1362000,19/08/2017,21.5,3195,2,3.0,549,,
2,u,520000,22/05/2016,3.8,3207,1,1.0,0,70.0,2005.0
2,u,595000,12/8/17,6.2,3123,1,1.0,0,,
2,t,770000,14/05/2016,4.2,3031,2,1.0,0,,
2,u,650000,16/07/2016,5.1,3181,2,1.0,0,,
4,h,1336000,26/07/2016,7.8,3012,2,1.0,343,109.0,1920.0
3,h,850000,13/08/2016,7.0,3013,1,1.0,444,,
3,h,1350000,18/03/2017,5.9,3032,1,3.0,575,,
2,u,950000,28/05/2016,2.3,3051,2,1.0,0,2.0,
4,h,1500000,12/8/17,7.5,3040,2,2.0,465,148.0,1940.0
4,h,465000,26/08/2017,20.6,3064,2,1.0,417,,1999.0
3,t,755000,27/05/2017,8.5,3044,1,2.0,234,,1993.0
1,u,440000,29/04/2017,6.6,3183,1,0.0,0,,1940.0
2,u,503000,29/07/2017,19.6,3076,2,2.0,214,115.0,2000.0
4,t,1320000,27/11/2016,13.0,3204,3,3.0,346,220.0,2010.0
3,u,453350,8/7/17,18.4,3029,2,1.0,315,,
2,u,792000,3/6/17,3.1,3003,1,1.0,0,,
2,u,446000,16/04/2016,8.0,3040,1,1.0,0,,
3,t,965000,24/09/2016,13.9,3165,2,1.0,283,28.0,2010.0
2,t,1055000,20/05/2017,11.2,3186,1,2.0,211,,1970.0
4,h,565000,12/8/17,20.6,3064,2,2.0,482,207.0,2012.0
4,h,826000,3/9/16,9.2,3012,2,2.0,308,185.0,2012.0
2,h,677000,27/11/2016,1.6,3065,1,0.0,67,,1850.0
2,t,890000,7/5/16,13.7,3188,2,2.0,181,,
2,u,510000,16/04/2016,4.5,3057,1,1.0,0,,
4,h,660000,8/7/17,18.0,3037,2,2.0,724,,
2,u,812000,4/3/17,9.7,3103,1,1.0,206,,
2,u,598000,25/02/2017,6.3,3143,1,1.0,0,88.0,1970.0
2,u,730000,11/2/17,5.8,3078,1,1.0,116,,1985.0
4,t,838000,29/04/2017,9.2,3012,2,2.0,294,194.0,
3,h,935000,15/10/2016,9.2,3012,1,2.0,485,,
2,u,415000,15/10/2016,8.0,3016,1,1.0,0,,
3,h,1120000,4/3/17,13.8,3018,1,2.0,506,120.0,1930.0
2,u,468000,29/07/2017,7.5,3040,1,1.0,0,,
3,h,760000,8/7/17,12.0,3073,1,1.0,606,,
4,h,2230000,10/9/16,8.0,3016,2,2.0,782,212.0,1900.0
2,h,335000,17/09/2016,8.7,3032,1,1.0,0,99.0,
2,u,543000,17/06/2017,7.2,3184,1,1.0,0,74.0,1960.0
1,u,499000,28/05/2016,4.6,3122,1,1.0,0,56.0,1960.0
1,u,535000,8/4/17,4.6,3122,1,1.0,918,50.0,2006.0
4,h,1200000,8/4/17,8.8,3072,3,2.0,466,,
2,u,517500,4/3/17,4.6,3142,1,1.0,0,,
3,t,1565000,16/04/2016,3.8,3207,1,2.0,188,,
2,u,660000,17/06/2017,10.1,3163,1,1.0,109,,
3,h,477000,3/9/17,14.0,3047,1,1.0,627,97.0,1960.0
3,t,502000,22/07/2017,15.5,3038,2,2.0,198,143.0,2004.0
1,u,330000,3/6/17,10.1,3163,1,1.0,0,,
3,t,555000,27/05/2017,12.9,3043,2,2.0,286,,
3,h,1351000,28/05/2016,13.1,3128,1,2.0,662,,
3,h,816000,3/6/17,22.2,3172,2,2.0,533,122.0,1980.0
3,t,922000,9/9/17,10.1,3163,2,2.0,219,,
3,h,1267000,22/07/2017,14.2,3149,2,4.0,714,,
3,h,532000,27/06/2016,12.4,3060,1,1.0,614,,
5,h,1090000,15/07/2017,16.7,3150,2,2.0,698,246.0,1978.0
1,u,345000,15/10/2016,11.4,3163,1,1.0,0,,
2,u,600000,13/08/2016,5.2,3056,1,1.0,768,,1970.0
3,h,1105000,7/5/16,8.7,3032,1,4.0,762,142.0,1950.0
2,u,950000,22/04/2017,3.8,3207,2,1.0,98,,2005.0
3,u,960000,15/07/2017,11.7,3148,2,2.0,382,151.0,2000.0
2,h,1680000,24/06/2017,3.6,3068,1,1.0,185,,
2,u,771000,8/4/17,7.8,3124,1,1.0,512,,
3,t,1110000,3/9/16,11.2,3127,2,2.0,401,129.0,1970.0
3,h,887000,8/4/17,9.2,3058,1,2.0,560,,
3,h,1700000,18/06/2016,5.2,3056,2,1.0,0,195.0,1945.0
2,u,863000,4/3/17,3.3,3141,2,1.0,742,,1950.0
2,u,460000,27/05/2017,5.2,3055,1,1.0,54,60.0,1970.0
5,h,1000000,28/05/2016,13.3,3020,2,1.0,786,295.0,1999.0
3,u,690000,15/10/2016,14.0,3166,1,2.0,340,103.0,1930.0
1,u,410000,8/4/17,3.3,3141,1,0.0,0,,
2,u,512000,11/3/17,8.8,3072,1,1.0,145,,
6,h,2620000,10/12/16,8.0,3040,4,2.0,860,355.0,1930.0
2,u,913000,8/4/17,9.0,3126,1,1.0,0,,
2,t,960000,29/04/2017,6.5,3071,2,2.0,158,133.0,2007.0
2,u,655000,10/9/16,3.8,3207,2,1.0,0,83.0,2000.0
3,t,538000,22/05/2016,12.4,3060,2,2.0,217,,
4,h,1926000,17/06/2017,9.7,3104,2,2.0,639,,
3,u,1326000,8/10/16,1.6,3066,2,1.0,0,190.0,2013.0
2,u,645000,1/7/17,16.0,3190,1,1.0,105,64.0,1970.0
3,t,820000,15/07/2017,16.2,3094,2,2.0,260,157.0,2010.0
4,h,981000,19/08/2017,11.7,3033,2,2.0,633,,
2,h,1085000,17/06/2017,9.5,3034,1,3.0,780,,
3,u,910000,7/11/16,13.9,3108,2,2.0,299,135.0,2001.0
2,u,570000,12/11/16,8.1,3161,1,1.0,0,67.0,
2,u,892500,7/5/16,11.2,3186,1,2.0,232,92.0,1970.0
3,h,1284000,4/3/17,5.9,3032,1,2.0,623,,1938.0
4,h,1158000,23/04/2016,7.0,3013,1,3.0,411,96.0,1910.0
3,t,1320000,29/04/2017,4.6,3142,2,1.0,3,131.0,1970.0
2,u,635000,24/09/2016,13.0,3204,1,2.0,118,,
2,u,635000,25/02/2017,3.3,3141,1,1.0,855,,
2,u,422000,17/06/2017,11.2,3046,1,1.0,136,,1980.0
3,h,2790000,20/05/2017,2.6,3052,2,1.0,180,120.0,1890.0
3,h,1061000,18/03/2017,7.8,3058,1,1.0,527,,
2,u,291000,9/9/17,19.6,3076,1,1.0,161,,
2,h,1470000,3/6/17,17.3,3193,1,4.0,633,116.0,1960.0
4,h,3015000,29/07/2017,5.4,3101,2,2.0,813,276.0,1970.0
4,h,505000,3/9/17,20.6,3064,2,2.0,406,,
3,h,1600000,3/12/16,2.6,3121,2,1.0,115,,
4,h,1900000,8/7/17,11.4,3204,2,2.0,700,210.0,1920.0
3,h,1001000,16/07/2016,6.6,3011,1,1.0,256,,
3,h,990000,27/06/2016,13.9,3108,1,1.0,746,,
3,h,1635000,3/9/16,11.2,3186,1,2.0,366,156.0,1920.0
3,h,1605000,27/11/2016,8.5,3185,1,1.0,418,152.0,1890.0
3,h,967500,18/03/2017,7.8,3012,1,1.0,325,,
3,h,1505000,12/11/16,6.9,3039,2,2.0,249,168.0,2007.0
3,u,700000,18/06/2016,11.2,3042,1,1.0,202,,
2,u,462500,16/07/2016,13.5,3042,1,1.0,164,,2003.0
1,u,305000,8/4/17,11.4,3163,1,1.0,0,46.0,1960.0
2,u,465000,13/08/2016,13.1,3128,2,1.0,0,65.0,2010.0
2,u,796000,22/07/2017,10.1,3163,1,2.0,0,86.0,1975.0
2,u,500000,13/05/2017,4.4,3031,1,1.0,0,72.9,1970.0
3,t,1260000,27/06/2016,7.5,3102,2,2.0,284,,1990.0
1,u,468000,13/05/2017,5.6,3101,1,1.0,0,,
3,h,465000,26/08/2017,20.6,3064,1,1.0,338,,2004.0
3,t,917500,20/05/2017,4.2,3031,1,1.0,98,101.0,1997.0
3,h,535000,15/07/2017,14.8,3023,1,0.0,675,,
3,t,747000,24/09/2016,8.4,3015,2,2.0,753,170.0,2005.0
4,h,1175000,17/06/2017,21.3,3135,2,1.0,842,135.0,1960.0
2,u,657500,19/11/2016,4.6,3122,1,1.0,728,73.0,1965.0
1,u,316000,20/05/2017,6.4,3078,1,1.0,0,,
3,t,750000,15/10/2016,13.1,3128,2,1.0,150,3.0,2000.0
2,h,1008000,6/8/16,3.5,3068,1,1.0,150,77.0,1890.0
5,h,1905000,18/03/2017,5.9,3032,2,2.0,521,,
3,h,770000,8/4/17,14.7,3167,1,1.0,590,132.0,1960.0
2,h,1035000,8/4/17,14.6,3189,1,1.0,593,,
2,u,801000,6/8/16,3.3,3141,2,1.0,0,,2000.0
2,t,1190000,27/05/2017,4.6,3181,1,2.0,57,,
3,t,962000,3/12/16,8.4,3015,2,2.0,283,179.0,2011.0
3,h,625000,10/9/16,9.2,3058,1,2.0,104,138.0,2014.0
3,h,927000,12/6/16,7.7,3015,1,0.0,274,131.0,1910.0
2,u,617000,27/05/2017,24.8,3156,2,1.0,306,120.0,2011.0
3,h,825000,16/04/2016,5.2,3056,1,1.0,210,130.0,1900.0
5,h,1188000,26/08/2017,23.0,3136,2,2.0,864,294.0,1980.0
3,h,900000,24/09/2016,8.2,3012,2,3.0,446,,2006.0
3,t,1400000,12/11/16,4.6,3122,2,2.0,299,,1960.0
2,u,336000,3/12/16,11.2,3073,1,1.0,99,67.0,1970.0
4,h,1289000,17/06/2017,14.3,3189,2,1.0,532,,
1,u,597000,18/06/2016,1.6,3065,1,1.0,0,,2000.0
3,t,910000,12/11/16,14.6,3189,2,2.0,312,,
4,h,1515000,8/4/17,6.9,3039,2,3.0,574,203.0,1910.0
3,u,720000,3/9/16,1.2,3006,1,1.0,0,106.0,1993.0
2,h,1016500,10/9/16,3.8,3207,1,1.0,131,,
3,h,600000,8/10/16,13.0,3046,1,2.0,702,,
4,t,1250800,27/05/2017,14.2,3149,2,2.0,243,,
2,u,822000,8/4/17,12.2,3147,1,1.0,78,59.0,1970.0
4,h,2110000,8/4/17,7.8,3124,1,3.0,572,150.0,1910.0
4,h,2800000,3/9/16,13.7,3188,3,2.0,701,320.0,2015.0
2,u,778500,28/05/2016,11.2,3127,1,1.0,170,78.0,1960.0
3,h,1911000,4/3/17,7.7,3184,1,2.0,327,,1900.0
4,h,925000,9/9/17,14.7,3152,3,4.0,534,176.0,1975.0
2,u,616000,16/07/2016,13.1,3128,1,1.0,155,,
4,h,1685000,9/9/17,5.3,3070,1,1.0,442,112.0,1920.0
3,t,815000,24/06/2017,4.3,3032,2,2.0,198,130.0,1990.0
3,h,860000,27/05/2017,12.0,3073,1,2.0,627,136.0,1950.0
4,h,1165000,16/09/2017,17.9,3192,2,2.0,594,,
2,t,480000,8/7/17,23.0,3136,1,1.0,2040,,
3,h,797000,9/9/17,24.8,3156,2,1.0,626,145.0,1995.0
4,h,1675000,18/03/2017,9.2,3104,2,2.0,667,201.0,1974.0
3,h,1509000,28/05/2016,13.8,3107,2,2.0,812,158.0,1960.0
1,u,210000,18/03/2017,7.8,3012,1,1.0,0,36.0,1970.0
3,u,960000,13/05/2017,11.8,3204,2,2.0,199,167.0,1995.0
2,u,756000,15/10/2016,11.2,3186,1,1.0,0,80.0,1920.0
3,u,1336000,3/6/17,10.5,3186,2,1.0,249,,
1,u,895000,22/07/2017,1.3,3002,1,1.0,0,60.0,1990.0
2,u,316000,27/06/2016,6.4,3011,1,1.0,0,55.0,1960.0
3,h,1430000,11/2/17,6.5,3071,1,3.0,705,,
3,h,870000,22/08/2016,7.8,3058,1,1.0,371,100.0,1980.0
2,u,550000,8/7/17,3.0,3067,1,1.0,1521,,
2,u,444000,18/06/2016,7.5,3123,1,1.0,0,68.0,1970.0
2,u,655000,18/06/2016,3.8,3207,1,1.0,0,86.0,2006.0
2,u,875500,18/03/2017,13.7,3188,2,1.0,225,118.0,1970.0
2,t,779000,24/09/2016,3.8,3207,1,1.0,0,,
3,h,1220000,28/08/2016,4.5,3181,2,1.0,112,100.0,1900.0
2,u,730000,12/8/17,14.2,3149,1,1.0,292,,
2,u,496000,13/05/2017,9.9,3044,1,1.0,136,,
2,u,585000,15/07/2017,16.1,3088,1,1.0,240,79.0,1965.0
2,u,681000,27/11/2016,4.5,3181,2,1.0,0,95.0,1995.0
2,u,626000,17/09/2016,8.5,3185,1,1.0,1764,100.0,1930.0
2,u,737000,27/06/2016,11.4,3163,1,1.0,165,,1990.0
2,u,666000,29/07/2017,2.4,3121,1,1.0,0,60.0,
2,h,1143000,22/08/2016,6.5,3071,1,2.0,431,,
2,u,602000,3/12/16,6.1,3182,1,0.0,0,66.0,1930.0
3,u,1245000,28/05/2016,10.7,3187,2,1.0,227,,1998.0
3,h,556000,24/06/2017,14.0,3047,1,1.0,627,,
2,t,710000,29/07/2017,7.2,3184,1,1.0,0,,1980.0
2,t,779000,17/09/2016,7.9,3079,1,2.0,152,,1970.0
2,u,525500,11/2/17,6.5,3071,1,1.0,724,72.0,1975.0
4,h,1540000,27/05/2017,10.1,3163,2,2.0,589,199.0,1920.0
5,h,1950000,3/9/17,9.7,3104,3,2.0,743,0.0,1949.0
2,u,480000,3/6/17,7.2,3184,1,1.0,1210,65.0,1968.0
3,h,1200000,8/4/17,5.2,3056,1,1.0,318,,1927.0
3,u,672000,27/06/2016,11.2,3073,1,2.0,855,,
3,h,690000,27/11/2016,12.4,3083,1,2.0,556,,
2,u,676000,6/5/17,5.8,3078,1,1.0,0,87.0,2002.0
2,u,503500,16/04/2016,6.1,3182,1,1.0,683,72.0,1940.0
3,u,820000,3/9/16,11.4,3163,1,2.0,0,96.0,1989.0
4,h,1830000,26/08/2017,11.4,3204,2,1.0,567,,1929.0
2,t,1350000,17/06/2017,1.3,3002,2,1.0,87,115.0,2005.0
3,u,1240000,7/11/16,8.5,3185,2,2.0,319,123.0,1990.0
3,h,545000,24/06/2017,38.0,3199,2,2.0,571,,
2,h,1080000,12/8/17,23.0,3136,1,1.0,1474,,
3,h,1400000,7/11/16,6.9,3039,2,2.0,597,,
2,u,1100000,12/11/16,11.2,3186,1,2.0,0,85.0,1935.0
2,u,831000,15/10/2016,11.2,3127,1,1.0,982,,
3,h,1765000,17/09/2016,2.6,3121,1,2.0,332,,
4,h,1774500,14/05/2016,9.3,3162,2,2.0,575,256.0,2008.0
4,h,1390000,8/7/17,14.3,3109,3,2.0,664,,
3,h,572000,23/04/2016,11.2,3073,1,2.0,41400,,
3,h,740000,27/05/2017,38.0,3199,1,1.0,650,,
3,h,629500,29/07/2017,11.2,3046,1,1.0,610,,
3,t,1065000,28/05/2016,2.3,3051,2,1.0,64,,2008.0
2,t,640000,11/3/17,11.1,3025,1,1.0,252,,1965.0
2,h,716000,3/6/17,7.2,3185,1,1.0,0,,1970.0
2,h,1001000,26/07/2016,9.3,3162,2,1.0,255,85.0,1890.0
3,h,1612000,30/07/2016,4.5,3181,2,0.0,146,139.0,1900.0
4,t,1202000,17/06/2017,12.4,3108,3,0.0,403,,
2,h,941000,7/5/16,2.5,3067,1,0.0,181,,
4,h,980000,26/08/2017,38.0,3199,2,2.0,937,191.0,1960.0
5,h,1607500,20/05/2017,8.0,3040,3,1.0,695,,
2,h,981000,25/02/2017,11.8,3204,1,1.0,533,,
2,h,1120000,14/05/2016,8.4,3015,1,3.0,574,,
2,u,710000,8/4/17,13.0,3204,1,3.0,225,,
4,h,646000,29/04/2017,15.0,3021,2,2.0,658,198.0,1980.0
3,t,750000,12/6/16,12.1,3046,2,2.0,301,251.0,2011.0
4,h,1210000,16/09/2017,6.2,3015,1,0.0,325,160.0,1983.0
4,h,1200000,16/07/2016,7.0,3013,2,2.0,417,157.0,1900.0
3,h,1385000,1/7/17,14.2,3149,1,2.0,807,167.0,1970.0
3,u,605000,25/02/2017,13.8,3018,1,2.0,181,,
3,h,1370000,28/05/2016,7.8,3058,1,1.0,563,130.0,1930.0
2,u,627500,13/08/2016,3.3,3141,1,1.0,0,85.0,1970.0
3,h,996000,27/05/2017,8.4,3072,1,2.0,581,,
3,u,780000,8/4/17,7.5,3123,1,1.0,0,,
2,u,526000,10/9/16,9.7,3103,1,1.0,0,73.0,1960.0
2,u,442000,10/12/16,4.2,3031,2,1.0,3448,71.0,2010.0
3,h,1110000,10/12/16,13.9,3165,1,4.0,612,,
2,u,757500,19/11/2016,6.1,3182,1,1.0,0,,
1,u,400500,13/05/2017,7.5,3123,1,1.0,71,,
3,h,1860000,19/11/2016,9.1,3040,2,2.0,311,,
2,h,1007000,27/06/2016,11.2,3042,1,1.0,646,,
2,u,560000,16/07/2016,4.6,3122,1,1.0,0,70.0,2013.0
3,u,800000,10/12/16,11.2,3042,2,1.0,0,,
1,u,390000,14/05/2016,2.6,3121,1,1.0,0,40.0,2011.0
3,u,850000,17/06/2017,14.3,3109,2,1.0,236,145.0,1980.0
2,u,560000,29/07/2017,17.9,3192,1,2.0,182,,
3,h,1675000,25/02/2017,7.7,3184,1,1.0,345,,
3,h,580000,26/08/2017,14.8,3023,2,2.0,461,174.0,2000.0
2,u,600000,20/05/2017,6.5,3071,1,1.0,0,59.0,1960.0
3,h,710000,13/05/2017,13.0,3046,1,2.0,587,,
2,u,475000,8/10/16,2.3,3051,1,1.0,0,,
3,h,1850000,22/08/2016,2.6,3121,2,1.0,203,112.0,1900.0
3,h,1365000,7/5/16,8.0,3040,1,1.0,754,,
4,u,753000,13/08/2016,13.9,3108,1,1.0,241,105.0,1970.0
3,h,853000,8/10/16,6.4,3011,1,1.0,0,141.0,2010.0
4,h,650000,15/07/2017,22.7,3174,1,2.0,660,,
2,u,635000,8/10/16,9.7,3103,1,1.0,0,70.0,2014.0
2,u,850000,22/04/2017,3.3,3141,2,2.0,17200,,2000.0
1,u,399000,1/7/17,4.6,3181,1,0.0,0,,
2,u,920000,18/03/2017,3.3,3141,2,0.0,0,,
3,t,815000,8/4/17,11.2,3073,2,2.0,213,1.0,2012.0
1,u,680000,17/09/2016,2.8,3000,1,2.0,0,102.0,1965.0
4,h,605000,23/09/2017,31.7,3429,2,2.0,738,192.0,2000.0
2,u,482000,29/04/2017,6.1,3182,1,1.0,0,54.0,2004.0
3,h,500000,22/07/2017,31.7,3429,1,3.0,678,127.0,1975.0
3,t,525000,1/7/17,10.5,3020,2,1.0,177,,
3,h,475000,18/06/2016,11.2,3073,1,1.0,535,133.0,1970.0
3,t,1030000,18/03/2017,13.9,3165,2,2.0,327,,
2,u,645000,13/05/2017,4.5,3181,1,1.0,2842,84.0,1920.0
3,t,905000,20/05/2017,13.6,3148,1,2.0,418,132.0,1955.0
4,h,2525000,8/4/17,14.0,3166,2,0.0,1143,,
2,h,962000,1/7/17,1.8,3051,1,0.0,91,2.0,
2,t,931000,16/09/2017,2.0,3066,1,1.0,109,90.0,2001.0
2,u,785000,24/09/2016,9.2,3146,1,1.0,0,,
2,u,1480000,12/8/17,3.5,3207,2,2.0,0,,2000.0
3,h,840000,3/12/16,6.4,3011,1,0.0,164,93.0,1900.0
2,u,350000,22/05/2016,5.2,3056,1,1.0,0,,
3,u,800000,28/05/2016,13.9,3165,2,2.0,261,,
2,h,900000,22/08/2016,6.5,3071,1,1.0,497,,
2,t,486500,8/10/16,13.9,3165,1,1.0,0,75.0,1960.0
4,h,1290000,11/3/17,4.5,3057,2,2.0,468,,
2,u,479000,4/3/17,2.6,3121,1,1.0,534,,1970.0
5,h,1180000,23/09/2017,23.0,3136,3,3.0,857,285.0,2012.0
2,h,747000,19/11/2016,6.4,3011,1,1.0,320,94.0,1900.0
3,h,780000,3/6/17,12.1,3083,1,1.0,546,,
2,h,460000,27/11/2016,12.1,3046,1,4.0,360,,
1,u,440000,6/5/17,4.6,3122,1,1.0,0,51.0,1960.0
3,t,702000,28/08/2016,11.7,3125,2,1.0,170,106.0,2001.0
2,u,770000,7/11/16,11.2,3127,1,1.0,156,,1960.0
3,h,1050000,25/02/2017,4.5,3181,2,1.0,8216,130.0,1995.0
2,u,535000,18/06/2016,12.2,3147,1,1.0,72,,
4,t,1465000,18/06/2016,13.9,3165,2,2.0,319,256.0,2015.0
3,h,1090000,27/11/2016,12.1,3163,2,2.0,553,138.0,1960.0
2,u,623000,10/9/16,13.0,3166,1,1.0,101,90.0,1970.0
3,h,1300000,8/4/17,9.1,3040,3,2.0,240,240.0,2013.0
3,u,798000,15/10/2016,8.8,3072,2,2.0,212,,2005.0
5,h,715000,28/08/2016,13.5,3020,2,2.0,654,,
2,u,492500,3/9/16,13.9,3108,1,1.0,65,,1975.0
3,h,1260000,19/11/2016,4.2,3031,2,2.0,250,147.0,1900.0
2,t,735000,24/09/2016,5.9,3055,1,2.0,120,109.0,2004.0
2,u,600000,12/11/16,2.1,3205,1,1.0,0,,
3,h,773000,6/8/16,9.5,3081,1,2.0,626,93.0,1955.0
1,u,315000,27/11/2016,11.2,3145,1,1.0,0,46.0,1940.0
2,u,472000,25/02/2017,14.5,3188,1,1.0,215,68.0,2007.0
2,h,1424000,8/4/17,11.4,3163,1,1.0,575,,
3,u,605000,26/07/2016,8.8,3072,1,2.0,192,,
2,u,690000,14/05/2016,12.2,3147,1,1.0,216,90.0,2003.0
4,h,2077000,7/11/16,9.2,3146,2,3.0,553,143.0,1910.0
3,h,690500,3/6/17,10.5,3020,1,0.0,637,,
3,t,1137000,19/11/2016,9.2,3104,2,2.0,349,,
2,u,500000,27/05/2017,6.2,3123,1,1.0,1324,72.0,1970.0
2,u,691000,15/10/2016,2.6,3121,2,1.0,0,85.0,2008.0
3,h,1581000,28/05/2016,3.5,3068,1,0.0,193,132.0,1910.0
2,u,950000,10/12/16,11.8,3204,1,1.0,0,,
2,h,1026000,3/9/16,5.2,3056,1,0.0,225,108.0,1905.0
2,u,695000,4/6/16,10.4,3163,2,1.0,0,,
4,h,602000,26/08/2017,18.4,3029,2,2.0,603,150.0,1985.0
1,u,301000,17/06/2017,4.3,3032,1,1.0,887,45.0,1972.0
3,h,1510000,29/04/2017,13.9,3165,1,2.0,689,,
2,u,520000,8/7/17,23.2,3153,1,1.0,158,69.0,1975.0
2,u,600000,18/03/2017,12.2,3147,1,1.0,153,80.0,1970.0
3,u,813000,29/07/2017,15.4,3131,2,2.0,266,134.0,2001.0
3,h,1037000,3/9/16,4.2,3031,1,1.0,188,106.0,1910.0
2,h,826000,16/07/2016,10.8,3019,1,2.0,667,,1950.0
3,h,575000,17/09/2016,13.5,3020,1,2.0,686,,
3,h,1045000,8/4/17,8.8,3072,1,2.0,513,,
4,h,1245000,26/08/2017,16.7,3150,2,2.0,652,,1981.0
2,h,1417500,27/05/2017,7.8,3161,1,2.0,307,103.0,1900.0
